Data,Tag,Pos,Canzone,Artista
2026-01-03,NEW✨,171,Die On This Hill,Sienna Spiro
2026-01-03,NEW✨,172,Tubaroes,Diego & Victor Hugo
2026-01-03,NEW✨,173,Daisies,Justin Bieber
2026-01-03,NEW✨,174,The Door,Teddy Swims
2026-01-03,NEW✨,175,One Dance,Drake Featuring Wizkid & Kyla
2026-01-03,NEW✨,176,4 Raws,EsDeeKid
2026-01-03,NEW✨,177,Pvta Luna,Neton Vega
2026-01-03,NEW✨,178,The Christmas Song,Olivia Dean
2026-01-03,NEW✨,179,Folded,Kehlani
2026-01-03,NEW✨,180,Counting Stars,OneRepublic
2026-01-03,NEW✨,181,Somewhere Only We Know,Keane
2026-01-03,NEW✨,182,No One Noticed,The Marias
2026-01-03,NEW✨,183,Someday At Christmas,Stevie Wonder
2026-01-03,NEW✨,184,Santa Baby,Kylie Minogue
2026-01-03,NEW✨,185,Sequencia Feiticeira,"PEDRO SAMPAIO Featuring MC GW, MC Jhey, MC Rodrigo do CN & MC Nito"
2026-01-03,NEW✨,186,Gangsta's Paradise,Coolio Featuring L.V.
2026-01-03,NEW✨,187,I Wanna Be Yours,Arctic Monkeys
2026-01-03,NEW✨,188,This Christmas,Donny Hathaway
2026-01-03,NEW✨,189,No Tiene Sentido,Beele
2026-01-03,NEW✨,190,I Saw Mommy Kissing Santa Claus,Jackson 5
2026-01-03,NEW✨,191,Numb,Linkin Park
2026-01-03,NEW✨,192,Feel Good Inc,Gorillaz
2026-01-03,NEW✨,193,Christmas Without You,Ava Max
2026-01-03,NEW✨,194,Jane Doe,Kenshi Yonezu & Hikaru Utada
2026-01-03,NEW✨,195,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
2026-01-03,NEW✨,196,Baby It's Cold Outside,Idina Menzel Duet With Michael Buble
2026-01-03,NEW✨,197,Wonderwall,Oasis
2026-01-03,NEW✨,198,Show Me Love,WizTheMc
2026-01-03,NEW✨,199,Velda,"Bad Bunny, Omar Courtz & Dei V"
2026-01-03,NEW✨,200,Tu Sancho,Fuerza Regida
