Data,Tag,Pos,Canzone,Artista
2026-09-26,NEW✨,150,Love Always Run Away,Lim Young Woong
2026-09-26,NEW✨,151,Livin' On A Prayer,Bon Jovi
2026-09-26,NEW✨,152,Honeybee,Olivia Rodrigo
2026-09-26,NEW✨,153,Circles,Post Malone
2026-09-26,NEW✨,154,"I Knew It, I Knew You",Taylor Swift
2026-09-26,NEW✨,155,Poker Face,Lady Gaga
2026-09-26,NEW✨,156,Opalite,Taylor Swift
2026-09-26,NEW✨,157,Total Eclipse Of The Heart,Bonnie Tyler
2026-09-26,NEW✨,158,(When You Gonna) Give It Up To Me,Sean PaulFeaturingKeyshia Cole
2026-09-26,NEW✨,159,ToTo,Lim Young Woong
2026-09-26,NEW✨,160,Mi Chico,"DJ Goja,Jason Derulo& Melody"
2026-09-26,NEW✨,161,No Broke Boys,Disco Lines &Tinashe
2026-09-26,NEW✨,162,Koko,Omar Courtz
2026-09-26,NEW✨,163,That's What I Like,Bruno Mars
2026-09-26,NEW✨,164,All The Stars,Kendrick Lamar&SZA
2026-09-26,NEW✨,165,Without Me,Eminem
2026-09-26,NEW✨,166,Yes! Tokyo,"EBiDAN Featuring SUPER*DRAGON, Sakurashimeji, ONE N' ONLY, BUDDiiS, ICEx & Lienel"
2026-09-26,NEW✨,167,Baby,Justin BieberFeaturingLudacris
2026-09-26,NEW✨,168,Free Your Mind,Prospa & Cloonee Featuring Sybil
2026-09-26,NEW✨,169,Apocalypse,Cigarettes After Sex
2026-09-26,NEW✨,170,"Good Luck, Babe!",Chappell Roan
2026-09-26,NEW✨,171,Legendary Lovers,Katy Perry
2026-09-26,NEW✨,172,Closer,The ChainsmokersFeaturingHalsey
2026-09-26,NEW✨,173,Enjoy The Silence,Depeche Mode
2026-09-26,NEW✨,174,Reflections,The Neighbourhood
2026-09-26,NEW✨,175,Titanium,David GuettaFeaturingSia
2026-09-26,NEW✨,176,We Can't Be Friends (Wait For Your Love),Ariana Grande
2026-09-26,NEW✨,177,Las Mas Bonitas Son P#tas,Anuel AA
2026-09-26,NEW✨,178,S&M,Rihanna
2026-09-26,NEW✨,179,Feel Good Inc,Gorillaz
2026-09-26,NEW✨,180,Lemonade,Aespa
2026-09-26,NEW✨,181,The Scientist,Coldplay
2026-09-26,NEW✨,182,Bloody Paradise,ENHYPEN
2026-09-26,NEW✨,183,Gabriela,KATSEYE
2026-09-26,NEW✨,184,Stay,The Kid Laroi&Justin Bieber
2026-09-26,NEW✨,185,Losing My Religion,R.E.M.
2026-09-26,NEW✨,186,Only Girl (In The World),Rihanna
2026-09-26,NEW✨,187,Dear My Crazy Soulmate,IU
2026-09-26,NEW✨,188,For Okinawa,"YOA Featuring Awich, CHICO CARLITO,One Ok Rock& Paledusk"
2026-09-26,NEW✨,189,Kiss Me,Sixpence None the Richer
2026-09-26,NEW✨,190,We Don't Talk Anymore,Charlie PuthFeaturingSelena Gomez
2026-09-26,NEW✨,191,Timeless,The Weeknd&Playboi Carti
2026-09-26,NEW✨,192,Unwritten,Natasha Bedingfield
2026-09-26,NEW✨,193,Heat Waves,Glass Animals
2026-09-26,NEW✨,194,Young And Beautiful,Lana Del Rey
2026-09-26,NEW✨,195,Hotel California,Eagles
2026-09-26,NEW✨,196,Coqueta,Fuerza Regida&Grupo Frontera
2026-09-26,NEW✨,197,Iconic By Mistake,"Le Sserafim,ILLIT&KATSEYE"
2026-09-26,NEW✨,198,Heaven,Bryan Adams
2026-09-26,NEW✨,199,Your Love,The Outfield
2026-09-26,NEW✨,200,Mr. Know It All,Teddy Swims
